# hard hit
0.00 60
0.11 60
0.22 60
0.34 60
0.45 64
0.56 64
0.67 64
0.78 60
0.90 60
1.01 60
1.12 60
1.23 60
1.35 60
1.46 64
1.57 64
1.68 10
1.79 64
1.91 60
2.02 60
2.13 60
2.24 64
2.35 60
2.47 60
2.58 64
2.69 64
2.80 64
2.92 60
3.03 60
3.14 60
3.25 39
3.36 21
3.48 60
3.59 60
3.70 60
3.81 64
3.92 60
4.04 60
4.15 60
4.26 64
4.37 9
4.49 64
4.60 64
4.71 64
4.82 64
4.93 64
5.05 64
5.16 64
5.27 60
5.38 64
5.50 52
5.61 11
5.72 60
5.83 60
5.94 60
6.06 64
6.17 64
6.28 60
6.39 34
6.50 64
6.62 64
6.73 64
6.84 64
6.95 0
7.07 60
7.18 64
7.29 20
7.40 60
7.51 60
7.63 64
7.74 60
7.85 60
7.96 60
8.07 60
8.19 64
8.30 64
8.41 64
8.52 64
8.64 34
8.75 60
8.86 60
8.97 41
9.08 64
9.20 13
9.31 60
9.42 17
9.53 28
9.64 60
9.76 60
9.87 39
9.98 60
10.09 64
10.20 64
10.32 64
10.43 64
10.54 64
10.65 64
10.77 60
10.88 38
10.99 64
11.10 30
11.21 40
11.33 9
11.44 60
11.55 60
11.66 60
11.77 60
11.89 60
12.00 64
12.11 64
12.22 35
12.34 41
12.45 64
12.56 64
12.67 64
12.78 3
12.90 64
13.01 64
13.12 60
13.23 60
13.34 60
13.46 60
13.57 60
13.68 60
13.79 60
13.91 64
14.02 64
14.13 55
14.24 64
14.35 64
14.47 64
14.58 23
14.69 5
14.80 60
14.91 64
15.03 46
15.14 60
15.25 60
15.36 60
15.48 60
15.59 60
15.70 60
15.81 10
15.92 64
16.04 8
16.15 52
16.26 64
16.37 64
16.48 64
16.60 64
16.71 9
16.82 60
16.93 59
17.05 60
17.16 60
17.27 60
17.38 60
17.49 60
17.61 0
17.72 64
17.83 64
17.94 64
18.05 60
18.17 60
18.28 60
18.39 19
18.50 64
18.62 64
18.73 60
18.84 64
18.95 60
19.06 60
19.18 60
19.29 64
19.40 64
19.51 64
19.62 64
19.74 64
19.85 64
19.96 64
20.07 60
20.19 34
20.30 64
20.41 64
20.52 64
20.63 64
20.75 64
20.86 14
20.97 60
21.08 40
21.19 18
21.31 64
21.42 64
21.53 64
21.64 64
21.76 64
21.87 64
21.98 64
22.09 44
22.20 26
22.32 60
22.43 34
22.54 57
22.65 64
