# mic drop
0.00 60
0.11 64
0.22 64
0.34 64
0.45 64
0.56 64
0.67 64
0.78 64
0.90 64
1.01 64
1.12 64
1.23 64
1.35 64
1.46 64
1.57 64
1.68 64
1.79 64
1.91 64
2.02 64
2.13 64
2.24 64
2.35 60
2.47 64
2.58 64
2.69 64
2.80 64
2.92 64
3.03 64
3.14 64
3.25 64
3.36 9
3.48 64
3.59 64
3.70 64
3.81 33
3.92 18
4.04 64
4.15 64
4.26 64
4.37 49
4.49 64
4.60 64
4.71 64
4.82 19
4.93 40
5.05 64
5.16 45
5.27 44
5.38 62
5.50 64
5.61 50
5.72 43
5.83 37
5.94 42
6.06 30
6.17 35
6.28 46
6.39 59
6.50 50
6.62 39
6.73 32
6.84 31
6.95 23
7.07 23
7.18 34
7.29 37
7.40 39
7.51 38
7.63 31
7.74 22
7.85 19
7.96 18
8.07 23
8.19 27
8.30 32
8.41 33
8.52 24
8.64 12
8.75 12
8.86 15
8.97 15
9.08 18
9.20 22
9.31 24
9.42 23
9.53 16
9.64 9
9.76 7
9.87 7
9.98 11
10.09 16
10.20 17
10.32 13
10.43 9
10.54 6
10.65 2
10.77 0
10.88 2
10.99 5
11.10 9
11.21 9
11.33 7
11.44 2
11.55 1
11.66 4
11.77 3
11.89 1
12.00 2
12.11 4
12.22 4
12.34 0
12.45 3
12.56 6
12.67 7
12.78 5
12.90 2
13.01 0
13.12 0
13.23 1
13.34 5
13.46 8
13.57 11
13.68 9
13.79 8
13.91 5
14.02 4
14.13 3
14.24 7
14.35 10
14.47 13
14.58 14
14.69 12
14.80 9
14.91 7
15.03 7
15.14 9
15.25 12
15.36 15
15.48 17
15.59 16
15.70 14
15.81 12
15.92 10
16.04 11
16.15 14
16.26 18
16.37 20
16.48 47
16.60 60
16.71 6
16.82 4
16.93 10
17.05 10
17.16 25
17.27 25
17.38 29
17.49 21
17.61 17
17.72 7
17.83 8
17.94 11
18.05 39
18.17 60
18.28 26
18.39 14
18.50 16
18.62 11
18.73 14
18.84 14
18.95 21
19.06 23
19.18 27
19.29 45
19.40 39
19.51 12
19.62 7
19.74 11
19.85 18
19.96 27
20.07 38
20.19 44
20.30 24
20.41 14
20.52 13
20.63 17
20.75 25
20.86 29
20.97 31
21.08 29
21.19 30
21.31 27
21.42 21
21.53 16
21.64 17
21.76 24
21.87 32
21.98 34
22.09 31
22.20 25
22.32 20
22.43 19
22.54 20
